ds,y
11/3/2017,6
11/4/2017,10
11/5/2017,11
11/6/2017,7
11/7/2017,10
11/8/2017,17
11/9/2017,11
11/10/2017,11
11/11/2017,10
11/12/2017,27
11/13/2017,17
11/14/2017,26
11/15/2017,22
11/16/2017,16
11/17/2017,21
11/18/2017,11
11/19/2017,13
11/20/2017,20
11/21/2017,15
11/22/2017,23
11/23/2017,18
11/24/2017,20
11/25/2017,11
11/26/2017,23
11/27/2017,19
11/28/2017,9
11/29/2017,18
11/30/2017,13
12/1/2017,12
12/2/2017,16
12/3/2017,16
12/4/2017,14
12/5/2017,20
12/6/2017,20
12/7/2017,25
12/8/2017,16
12/9/2017,28
12/10/2017,16
12/11/2017,23
12/12/2017,22
12/13/2017,32
12/14/2017,18
12/15/2017,27
12/16/2017,30
12/17/2017,46
12/18/2017,65
12/19/2017,40
12/20/2017,40
12/21/2017,53
12/22/2017,43
12/23/2017,48
12/24/2017,42
12/25/2017,39
12/26/2017,75
12/27/2017,63
12/28/2017,85
12/29/2017,64
12/30/2017,78
12/31/2017,73
1/1/2018,74
1/2/2018,37
1/3/2018,79
1/4/2018,70
1/5/2018,44
1/6/2018,55
1/7/2018,63
1/8/2018,95
1/9/2018,106
1/10/2018,122
1/11/2018,120
1/12/2018,91
1/13/2018,108
1/14/2018,123
1/15/2018,107
1/16/2018,89
1/17/2018,95
1/18/2018,88
1/19/2018,119
1/20/2018,114
1/21/2018,136
1/22/2018,137
1/23/2018,151
1/24/2018,135
1/25/2018,150
1/26/2018,130
1/27/2018,166
1/28/2018,146
1/29/2018,118
1/30/2018,143
1/31/2018,108
2/1/2018,77
2/2/2018,115
2/3/2018,113
2/4/2018,118
2/5/2018,101
2/6/2018,113
2/7/2018,114
2/8/2018,86
2/9/2018,74
2/10/2018,83
2/11/2018,74
2/12/2018,97
2/13/2018,73
2/14/2018,57
2/15/2018,56
2/16/2018,44
2/17/2018,57
2/18/2018,73
2/19/2018,63
2/20/2018,64
2/21/2018,57
2/22/2018,57
2/23/2018,40
2/24/2018,36
2/25/2018,31
2/26/2018,46
2/27/2018,46
2/28/2018,37
3/1/2018,30
3/2/2018,18
3/3/2018,37
3/4/2018,39
3/5/2018,43
3/6/2018,24
3/7/2018,32
3/8/2018,23
3/9/2018,32
3/10/2018,24
3/11/2018,43
3/12/2018,24
3/13/2018,32
3/14/2018,25
3/15/2018,20
3/16/2018,24
3/17/2018,16
3/18/2018,19
3/19/2018,17
3/20/2018,35
3/21/2018,28
3/22/2018,31
3/23/2018,27
3/24/2018,20
3/25/2018,18
3/26/2018,29
3/27/2018,28
3/28/2018,25
3/29/2018,16
3/30/2018,14
3/31/2018,16
4/1/2018,22
4/2/2018,19
4/3/2018,21
4/4/2018,14
4/5/2018,19
4/6/2018,16
4/7/2018,17
4/8/2018,22
4/9/2018,17
4/10/2018,24
4/11/2018,7
4/12/2018,16
4/13/2018,8
4/14/2018,8
4/15/2018,12
4/16/2018,14
4/17/2018,8
4/18/2018,6
4/19/2018,7
4/20/2018,9
4/21/2018,2
4/22/2018,13
4/23/2018,14
4/24/2018,10
4/25/2018,4
4/26/2018,10
4/27/2018,6
4/28/2018,8
4/29/2018,8
4/30/2018,5
5/1/2018,7
5/2/2018,4
5/3/2018,8
5/4/2018,3
5/5/2018,5
5/6/2018,2
5/7/2018,6
5/8/2018,1
5/9/2018,5
5/10/2018,7
5/11/2018,3
5/12/2018,4
5/13/2018,3
5/14/2018,5
5/15/2018,2
5/16/2018,1
5/17/2018,6
5/18/2018,2
5/19/2018,1
5/20/2018,1
5/21/2018,3
5/22/2018,3
5/23/2018,1
5/25/2018,2
5/26/2018,1
5/28/2018,2
5/29/2018,1
5/30/2018,3
6/1/2018,6
6/2/2018,7
6/3/2018,1
6/4/2018,6
6/5/2018,4
6/6/2018,5
6/7/2018,3
6/8/2018,3
6/9/2018,9
6/10/2018,4
6/11/2018,2
6/12/2018,3
6/13/2018,2
6/15/2018,5
6/16/2018,7
6/17/2018,2
6/18/2018,1
6/19/2018,5
6/20/2018,3
6/21/2018,1
6/22/2018,3
6/23/2018,1
6/24/2018,4
6/25/2018,2
6/26/2018,9
6/27/2018,1
6/29/2018,2
7/2/2018,1
7/3/2018,7
7/7/2018,3
7/8/2018,2
7/9/2018,2
7/10/2018,1
7/11/2018,6
7/12/2018,1
7/13/2018,5
7/14/2018,4
7/18/2018,5
7/20/2018,3
7/22/2018,2
7/23/2018,6
7/25/2018,4
7/28/2018,5
7/29/2018,1
7/30/2018,1
7/31/2018,1
8/1/2018,4
8/2/2018,1
8/3/2018,2
8/4/2018,1
8/5/2018,3
8/6/2018,1
8/8/2018,1
8/9/2018,3
8/10/2018,3
8/11/2018,1
8/12/2018,2
8/13/2018,1
8/14/2018,1
8/15/2018,4
8/17/2018,2
8/18/2018,1
8/19/2018,1
8/21/2018,1
8/23/2018,2
8/24/2018,2
8/26/2018,3
8/27/2018,1
8/29/2018,5
8/30/2018,4
8/31/2018,4
9/1/2018,6
9/3/2018,3
9/4/2018,4
9/5/2018,2
9/6/2018,3
9/7/2018,3
9/8/2018,5
9/9/2018,4
9/10/2018,1
9/11/2018,3
9/12/2018,1
9/13/2018,5
9/14/2018,10
9/15/2018,1
9/16/2018,4
9/17/2018,2
9/18/2018,5
9/19/2018,1
9/20/2018,3
9/22/2018,1
9/23/2018,3
9/24/2018,3
9/25/2018,3
9/26/2018,6
9/27/2018,2
9/28/2018,3
9/29/2018,1
9/30/2018,3
10/1/2018,2
10/2/2018,3
10/3/2018,3
10/4/2018,2
10/5/2018,10
10/6/2018,1
10/7/2018,2
10/8/2018,13
10/9/2018,7
10/10/2018,3
10/11/2018,4
10/12/2018,6
10/13/2018,3
10/14/2018,4
10/15/2018,3
10/16/2018,8
10/17/2018,3
10/18/2018,1
10/19/2018,7
10/20/2018,7
10/21/2018,3
10/22/2018,5
10/23/2018,13
10/24/2018,9
10/25/2018,6
10/26/2018,7
10/27/2018,10
10/28/2018,10
10/29/2018,8
10/30/2018,9
10/31/2018,14
11/1/2018,12
11/2/2018,12
11/3/2018,9
11/4/2018,21
11/5/2018,8
11/6/2018,8
11/7/2018,7
11/8/2018,17
11/9/2018,9
11/10/2018,10
11/11/2018,17
11/12/2018,14
11/13/2018,14
11/14/2018,12
11/15/2018,18
11/16/2018,9
11/17/2018,9
11/18/2018,17
11/19/2018,22
11/20/2018,8
11/21/2018,18
11/22/2018,23
11/23/2018,17
11/24/2018,9
11/25/2018,14
11/26/2018,7
11/27/2018,1
11/28/2018,12
11/29/2018,9
11/30/2018,12
12/1/2018,16
12/2/2018,30
12/3/2018,24
12/4/2018,12
12/5/2018,24
12/6/2018,21
12/7/2018,19
12/8/2018,23
12/9/2018,42
12/10/2018,26
12/11/2018,26
12/12/2018,29
12/13/2018,17
12/14/2018,32
12/15/2018,29
12/16/2018,26
12/17/2018,31
12/18/2018,43
12/19/2018,30
12/20/2018,37
12/21/2018,32
12/22/2018,65
12/23/2018,52
12/24/2018,18
12/25/2018,63
12/26/2018,57
12/27/2018,73
12/28/2018,69
12/29/2018,78
12/30/2018,61
12/31/2018,36
1/1/2019,62
1/2/2019,66
1/3/2019,53
1/4/2019,66
1/5/2019,51
1/6/2019,40
1/7/2019,31
1/8/2019,40
1/9/2019,37
1/10/2019,21
1/11/2019,24
1/12/2019,28
1/13/2019,59
1/14/2019,58
1/15/2019,28
1/16/2019,29
1/17/2019,35
1/18/2019,40
1/19/2019,45
1/20/2019,36
1/21/2019,52
1/22/2019,34
1/23/2019,56
1/24/2019,56
1/25/2019,35
1/26/2019,47
1/27/2019,37
