ds,y
5/29/2018,3
5/30/2018,3
5/31/2018,2
6/1/2018,0
6/2/2018,4
6/3/2018,0
6/4/2018,2
6/5/2018,0
6/6/2018,2
6/7/2018,3
6/8/2018,0
6/9/2018,2
6/10/2018,0
6/11/2018,1
6/12/2018,1
6/13/2018,0
6/14/2018,4
6/15/2018,1
6/16/2018,4
6/17/2018,4
6/18/2018,0
6/19/2018,1
6/20/2018,3
6/21/2018,2
6/22/2018,0
6/23/2018,0
6/24/2018,0
6/25/2018,1
6/26/2018,0
6/27/2018,1
6/28/2018,1
6/29/2018,1
6/30/2018,0
7/1/2018,0
7/2/2018,0
7/3/2018,0
7/4/2018,0
7/5/2018,0
7/6/2018,0
7/7/2018,0
7/8/2018,0
7/9/2018,0
7/10/2018,0
7/11/2018,0
7/12/2018,1
7/13/2018,0
7/14/2018,2
7/15/2018,0
7/16/2018,0
7/17/2018,1
7/18/2018,0
7/19/2018,0
7/20/2018,0
7/21/2018,0
7/22/2018,0
7/23/2018,0
7/24/2018,2
7/25/2018,2
7/26/2018,0
7/27/2018,0
7/28/2018,0
7/29/2018,0
7/30/2018,0
7/31/2018,1
8/1/2018,0
8/2/2018,1
8/3/2018,0
8/4/2018,0
8/5/2018,1
8/6/2018,0
8/7/2018,1
8/8/2018,0
8/9/2018,0
8/10/2018,0
8/11/2018,0
8/12/2018,0
8/13/2018,0
8/14/2018,0
8/15/2018,0
8/16/2018,0
8/17/2018,0
8/18/2018,0
8/19/2018,0
8/20/2018,0
8/21/2018,0
8/22/2018,1
8/23/2018,0
8/24/2018,0
8/25/2018,1
8/26/2018,0
8/27/2018,0
8/28/2018,0
8/29/2018,0
8/30/2018,2
8/31/2018,3
9/1/2018,0
9/2/2018,2
9/3/2018,0
9/4/2018,1
9/5/2018,3
9/6/2018,0
9/7/2018,2
9/8/2018,0
9/9/2018,0
9/10/2018,4
9/11/2018,2
9/12/2018,1
9/13/2018,6
9/14/2018,0
9/15/2018,0
9/16/2018,1
9/17/2018,1
9/18/2018,0
9/19/2018,3
9/20/2018,0
9/21/2018,0
