,ds,y
646,10/8/2011,68
647,10/9/2011,94
648,10/10/2011,112
649,10/11/2011,119
650,10/12/2011,123
651,10/13/2011,101
652,10/14/2011,119
653,10/15/2011,101
654,10/16/2011,111
655,10/17/2011,140
656,10/18/2011,112
657,10/19/2011,120
658,10/20/2011,123
659,10/21/2011,91
660,10/22/2011,99
661,10/23/2011,92
662,10/24/2011,100
663,10/25/2011,107
664,10/26/2011,101
665,10/27/2011,114
666,10/28/2011,107
667,10/29/2011,104
668,10/30/2011,100
669,10/31/2011,113
670,11/1/2011,130
671,11/2/2011,117
672,11/3/2011,104
673,11/4/2011,101
674,11/5/2011,109
675,11/6/2011,123
676,11/7/2011,144
677,11/8/2011,135
678,11/9/2011,111
679,11/10/2011,103
680,11/11/2011,122
681,11/12/2011,110
682,11/13/2011,121
683,11/14/2011,115
684,11/15/2011,115
685,11/16/2011,110
686,11/17/2011,139
687,11/18/2011,107
688,11/19/2011,93
689,11/20/2011,123
690,11/21/2011,115
691,11/22/2011,107
692,11/23/2011,111
693,11/24/2011,87
694,11/25/2011,111
695,11/26/2011,109
696,11/27/2011,97
697,11/28/2011,121
698,11/29/2011,107
699,11/30/2011,118
700,12/1/2011,111
701,12/2/2011,113
702,12/3/2011,97
703,12/4/2011,107
704,12/5/2011,127
705,12/6/2011,111
706,12/7/2011,112
707,12/8/2011,91
708,12/9/2011,86
709,12/10/2011,91
710,12/11/2011,114
711,12/12/2011,123
712,12/13/2011,117
713,12/14/2011,90
714,12/15/2011,107
715,12/16/2011,94
716,12/17/2011,121
717,12/18/2011,110
718,12/19/2011,114
719,12/20/2011,105
720,12/21/2011,105
721,12/22/2011,109
722,12/23/2011,88
723,12/24/2011,82
724,12/25/2011,109
725,12/26/2011,122
726,12/27/2011,138
727,12/28/2011,105
728,12/29/2011,127
729,12/30/2011,116
730,12/31/2011,100
731,1/1/2012,130
732,1/2/2012,134
733,1/3/2012,119
734,1/4/2012,113
735,1/5/2012,127
736,1/6/2012,117
737,1/7/2012,119
738,1/8/2012,105
739,1/9/2012,121
740,1/10/2012,110
741,1/11/2012,133
742,1/12/2012,103
743,1/13/2012,120
744,1/14/2012,104
745,1/15/2012,103
746,1/16/2012,128
747,1/17/2012,129
748,1/18/2012,119
749,1/19/2012,125
750,1/20/2012,127
751,1/21/2012,106
752,1/22/2012,113
753,1/23/2012,136
754,1/24/2012,125
755,1/25/2012,116
756,1/26/2012,123
757,1/27/2012,108
758,1/28/2012,98
759,1/29/2012,106
760,1/30/2012,127
761,1/31/2012,116
762,2/1/2012,127
763,2/2/2012,107
764,2/3/2012,122
765,2/4/2012,112
766,2/5/2012,117
767,2/6/2012,134
768,2/7/2012,119
769,2/8/2012,118
770,2/9/2012,123
771,2/10/2012,118
772,2/11/2012,120
773,2/12/2012,96
774,2/13/2012,123
775,2/14/2012,116
776,2/15/2012,146
777,2/16/2012,101
778,2/17/2012,130
779,2/18/2012,111
780,2/19/2012,132
781,2/20/2012,148
782,2/21/2012,133
783,2/22/2012,124
784,2/23/2012,125
785,2/24/2012,145
786,2/25/2012,131
787,2/26/2012,138
788,2/27/2012,135
789,2/28/2012,127
790,2/29/2012,139
791,3/1/2012,131
792,3/2/2012,132
793,3/3/2012,116
794,3/4/2012,117
795,3/5/2012,158
796,3/6/2012,124
797,3/7/2012,108
798,3/8/2012,130
799,3/9/2012,121
800,3/10/2012,111
801,3/11/2012,123
802,3/12/2012,139
803,3/13/2012,129
804,3/14/2012,132
805,3/15/2012,129
806,3/16/2012,134
807,3/17/2012,110
808,3/18/2012,122
809,3/19/2012,134
810,3/20/2012,116
811,3/21/2012,121
812,3/22/2012,109
813,3/23/2012,113
814,3/24/2012,102
815,3/25/2012,133
816,3/26/2012,129
817,3/27/2012,137
818,3/28/2012,122
819,3/29/2012,127
820,3/30/2012,122
821,3/31/2012,105
822,4/1/2012,127
823,4/2/2012,142
824,4/3/2012,125
825,4/4/2012,123
826,4/5/2012,97
827,4/6/2012,126
828,4/7/2012,92
829,4/8/2012,123
830,4/9/2012,133
831,4/10/2012,130
832,4/11/2012,125
833,4/12/2012,107
834,4/13/2012,116
835,4/14/2012,106
836,4/15/2012,117
837,4/16/2012,138
838,4/17/2012,142
839,4/18/2012,113
840,4/19/2012,122
841,4/20/2012,115
842,4/21/2012,104
843,4/22/2012,123
844,4/23/2012,137
845,4/24/2012,133
846,4/25/2012,117
847,4/26/2012,109
848,4/27/2012,119
849,4/28/2012,104
850,4/29/2012,106
851,4/30/2012,137
852,5/1/2012,133
853,5/2/2012,106
854,5/3/2012,123
855,5/4/2012,115
856,5/5/2012,105
857,5/6/2012,113
858,5/7/2012,139
859,5/8/2012,126
860,5/9/2012,124
861,5/10/2012,109
862,5/11/2012,129
863,5/12/2012,111
864,5/13/2012,94
865,5/14/2012,122
866,5/15/2012,123
867,5/16/2012,113
868,5/17/2012,125
869,5/18/2012,109
870,5/19/2012,109
871,5/20/2012,113
872,5/21/2012,132
873,5/22/2012,115
874,5/23/2012,131
875,5/24/2012,119
876,5/25/2012,129
877,5/26/2012,122
878,5/27/2012,125
879,5/28/2012,139
880,5/29/2012,113
881,5/30/2012,130
882,5/31/2012,129
883,6/1/2012,109
884,6/2/2012,120
885,6/3/2012,108
886,6/4/2012,131
887,6/5/2012,108
888,6/6/2012,112
889,6/7/2012,112
890,6/8/2012,108
891,6/9/2012,100
892,6/10/2012,122
893,6/11/2012,98
894,6/12/2012,112
895,6/13/2012,113
896,6/14/2012,102
897,6/15/2012,105
898,6/16/2012,117
899,6/17/2012,97
900,6/18/2012,120
901,6/19/2012,110
902,6/20/2012,105
903,6/21/2012,113
904,6/22/2012,93
905,6/23/2012,100
906,6/24/2012,104
907,6/25/2012,126
908,6/26/2012,101
909,6/27/2012,111
910,6/28/2012,102
911,6/29/2012,97
912,6/30/2012,100
913,7/1/2012,110
914,7/2/2012,121
915,7/3/2012,118
916,7/4/2012,108
917,7/5/2012,113
918,7/6/2012,118
919,7/7/2012,112
920,7/8/2012,118
921,7/9/2012,142
922,7/10/2012,126
923,7/11/2012,101
924,7/12/2012,118
925,7/13/2012,105
926,7/14/2012,103
927,7/15/2012,94
928,7/16/2012,138
929,7/17/2012,112
930,7/18/2012,110
931,7/19/2012,107
932,7/20/2012,112
933,7/21/2012,103
934,7/22/2012,118
935,7/23/2012,117
936,7/24/2012,116
937,7/25/2012,106
938,7/26/2012,119
939,7/27/2012,103
940,7/28/2012,113
941,7/29/2012,101
942,7/30/2012,113
943,7/31/2012,121
944,8/1/2012,111
945,8/2/2012,106
946,8/3/2012,97
947,8/4/2012,103
948,8/5/2012,115
949,8/6/2012,115
950,8/7/2012,104
951,8/8/2012,111
952,8/9/2012,109
953,8/10/2012,102
954,8/11/2012,107
955,8/12/2012,109
956,8/13/2012,129
957,8/14/2012,117
958,8/15/2012,110
959,8/16/2012,94
960,8/17/2012,106
961,8/18/2012,104
962,8/19/2012,104
963,8/20/2012,123
964,8/21/2012,95
965,8/22/2012,118
966,8/23/2012,105
967,8/24/2012,116
968,8/25/2012,86
969,8/26/2012,87
970,8/27/2012,129
971,8/28/2012,129
972,8/29/2012,120
973,8/30/2012,118
974,8/31/2012,107
975,9/1/2012,114
976,9/2/2012,104
977,9/3/2012,124
978,9/4/2012,131
979,9/5/2012,116
980,9/6/2012,115
981,9/7/2012,109
982,9/8/2012,126
983,9/9/2012,106
984,9/10/2012,135
985,9/11/2012,124
986,9/12/2012,105
987,9/13/2012,126
988,9/14/2012,98
989,9/15/2012,108
990,9/16/2012,115
991,9/17/2012,123
992,9/18/2012,111
993,9/19/2012,122
994,9/20/2012,125
995,9/21/2012,135
996,9/22/2012,116
997,9/23/2012,114
998,9/24/2012,134
999,9/25/2012,116
1000,9/26/2012,127
1001,9/27/2012,113
1002,9/28/2012,136
1003,9/29/2012,92
1004,9/30/2012,92
1005,10/1/2012,127
1006,10/2/2012,125
1007,10/3/2012,123
1008,10/4/2012,121
1009,10/5/2012,129
1010,10/6/2012,111
1011,10/7/2012,104
1012,10/8/2012,133
1013,10/9/2012,115
1014,10/10/2012,136
1015,10/11/2012,119
1016,10/12/2012,115
1017,10/13/2012,107
1018,10/14/2012,118
1019,10/15/2012,129
1020,10/16/2012,121
1021,10/17/2012,118
1022,10/18/2012,100
1023,10/19/2012,120
1024,10/20/2012,124
1025,10/21/2012,123
1026,10/22/2012,122
1027,10/23/2012,116
1028,10/24/2012,108
1029,10/25/2012,123
1030,10/26/2012,115
1031,10/27/2012,114
1032,10/28/2012,118
1033,10/29/2012,120
1034,10/30/2012,111
1035,10/31/2012,82
1036,11/1/2012,111
1037,11/2/2012,128
1038,11/3/2012,113
1039,11/4/2012,133
1040,11/5/2012,123
1041,11/6/2012,111
1042,11/7/2012,114
1043,11/8/2012,104
1044,11/9/2012,113
1045,11/10/2012,102
1046,11/11/2012,100
1047,11/12/2012,125
1048,11/13/2012,130
1049,11/14/2012,126
1050,11/15/2012,123
1051,11/16/2012,121
1052,11/17/2012,110
1053,11/18/2012,106
